User Input,Polarity,Extracted Concern,Category,Intensity,VADER_Compound
Since getting COVID I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,3.0,4
The humidity in summer means I can't sleep well.,Negative,can't sleep well,Insomnia,3.0,2
My new pillow means I'm unable to sleep comfortably.,Negative,unable to sleep,Insomnia,3.0,3
Working night shifts means I have trouble sleeping during the day.,Negative,have trouble sleeping,Insomnia,3.0,4
The street lights outside mean I can't sleep well without blinds.,Negative,can't sleep well,Insomnia,3.0,2
My allergies make me unable to sleep peacefully.,Negative,unable to sleep,Insomnia,3.0,3
The sound of rain means I have trouble sleeping sometimes.,Negative,have trouble sleeping,Insomnia,3.0,4
This new mattress means I can't sleep well yet.,Negative,can't sleep well,Insomnia,3.0,2
My chronic pain means I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,3.0,5
The thin walls mean I have trouble sleeping with noisy neighbors.,Negative,have trouble sleeping,Insomnia,3.0,5
Thinking about work means I can't sleep well on Sundays.,Negative,can't sleep well,Insomnia,3.0,2
My restless legs mean I'm unable to sleep easily.,Negative,unable to sleep,Insomnia,3.0,1
The time change means I have trouble sleeping this week.,Negative,have trouble sleeping,Insomnia,3.0,4
Playing video games late means I can't sleep well after.,Negative,can't sleep well,Insomnia,3.0,1
My dry throat means I'm unable to sleep comfortably.,Negative,unable to sleep,Insomnia,3.0,3
The cold weather means I have trouble sleeping without extra blankets.,Negative,have trouble sleeping,Insomnia,3.0,4
Financial stress means I can't sleep well these days.,Negative,can't sleep well,Insomnia,3.0,5
My new exercise routine means I'm unable to sleep right away.,Negative,unable to sleep,Insomnia,3.0,1
The weekend parties next door mean I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,3.0,1
This upcoming presentation means I can't sleep well.,Negative,can't sleep well,Insomnia,3.0,2
My sinus problems mean I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,3.0,4
The cat running around means I have trouble sleeping sometimes.,Negative,have trouble sleeping,Insomnia,3.0,4
Watching scary movies means I can't sleep well afterward.,Negative,can't sleep well,Insomnia,3.0,5
My midnight hunger makes me unable to sleep peacefully.,Negative,unable to sleep,Insomnia,3.0,1
The creaky floorboards mean I have trouble sleeping when it's windy.,Negative,have trouble sleeping,Insomnia,3.0,4
Too much screen time means I can't sleep well lately.,Negative,can't sleep well,Insomnia,3.0,2
My worried mind means I'm unable to sleep soundly.,Negative,unable to sleep,Insomnia,3.0,2
I'm a little stressed about the upcoming dentist appointment.,Negative,little stressed,Stress,2.0,2
Work has me very stressed with all these deadlines.,Negative,very stressed,Stress,4.0,4
I'm extremely stressed about my final exams next week.,Negative,extremely stressed,Stress,5.0,4
Planning this wedding has me a little stressed but I'm managing.,Negative,little stressed,Stress,2.0,1
The house move has me very stressed right now.,Negative,very stressed,Stress,4.0,4
My financial situation has me extremely stressed these days.,Negative,extremely stressed,Stress,5.0,4
I'm a little stressed about meeting my partner's family.,Negative,little stressed,Stress,2.0,2
The job interview tomorrow has me very stressed.,Negative,very stressed,Stress,4.0,4
This medical diagnosis has me extremely stressed and worried.,Negative,extremely stressed,Stress,5.0,5
Learning to drive has me a little stressed at times.,Negative,little stressed,Stress,2.0,2
My workload this month has me very stressed out.,Negative,very stressed,Stress,4.0,4
The mortgage application has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
I'm a little stressed about starting at the new gym.,Negative,little stressed,Stress,2.0,2
My kids' school changes have me very stressed lately.,Negative,very stressed,Stress,4.0,4
The upcoming surgery has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
Public speaking makes me a little stressed but I cope.,Negative,little stressed,Stress,2.0,1
Managing the team project has me very stressed.,Negative,very stressed,Stress,4.0,4
The custody battle has me extremely stressed.,Negative,extremely stressed,Stress,5.0,5
I'm a little stressed about the weather forecast.,Negative,little stressed,Stress,2.0,2
The client presentation has me very stressed today.,Negative,very stressed,Stress,4.0,4
My visa application has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
Cooking for guests makes me a little stressed.,Negative,little stressed,Stress,2.0,2
The office restructuring has me very stressed.,Negative,very stressed,Stress,4.0,4
My debt situation has me extremely stressed.,Negative,extremely stressed,Stress,5.0,5
I'm a little stressed about changing my diet.,Negative,little stressed,Stress,2.0,2
The family reunion has me very stressed out.,Negative,very stressed,Stress,4.0,4
The legal dispute has me extremely stressed.,Negative,extremely stressed,Stress,5.0,5
Shopping during sales makes me a little stressed.,Negative,little stressed,Stress,2.0,2
My car problems have me very stressed this week.,Negative,very stressed,Stress,4.0,5
The immigration process has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
I'm a little stressed about the minor surgery.,Negative,little stressed,Stress,2.0,2
The house repairs have me very stressed now.,Negative,very stressed,Stress,4.0,4
My health issues have me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
Travel planning makes me a little stressed.,Negative,little stressed,Stress,2.0,2
The deadline pressure has me very stressed.,Negative,very stressed,Stress,4.0,5
The court date has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
I'm a little stressed about the family visit.,Negative,little stressed,Stress,2.0,2
The performance review has me very stressed.,Negative,very stressed,Stress,4.0,4
The tax audit has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
Pet sitting makes me a little stressed.,Negative,little stressed,Stress,2.0,2
The company merger has me very stressed.,Negative,very stressed,Stress,4.0,4
My career change has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
I'm a little stressed about the blind date.,Negative,little stressed,Stress,2.0,5
The home inspection has me very stressed.,Negative,very stressed,Stress,4.0,4
The custody hearing has me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
Party planning makes me a little stressed.,Negative,little stressed,Stress,2.0,1
The budget cuts have me very stressed.,Negative,very stressed,Stress,4.0,5
The medical results have me extremely stressed.,Negative,extremely stressed,Stress,5.0,4
I'm a little stressed about the job change.,Negative,little stressed,Stress,2.0,2
The upcoming move has me very stressed.,Negative,very stressed,Stress,4.0,4
User Input,Polarity,Extracted Concern,Category,,1
The rainy weather has me feeling very low today.,Negative,feeling very low,Depression,3.0,2
I've been feeling depressed since losing my job.,Negative,feeling depressed,Depression,4.0,5
This divorce has me feeling very low right now.,Negative,feeling very low,Depression,3.0,2
Winter makes me feeling depressed every year.,Negative,feeling depressed,Depression,4.0,4
I'm feeling very low after moving to a new city.,Negative,feeling very low,Depression,3.0,2
The loneliness has me feeling depressed lately.,Negative,feeling depressed,Depression,4.0,5
After graduation I'm feeling very low and lost.,Negative,feeling very low,Depression,3.0,5
My chronic pain has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The breakup has me feeling very low these days.,Negative,feeling very low,Depression,3.0,2
I'm feeling depressed about my career path.,Negative,feeling depressed,Depression,4.0,4
The family conflict has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My health issues have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The failed exam has me feeling very low.,Negative,feeling very low,Depression,3.0,5
I've been feeling depressed since the accident.,Negative,feeling depressed,Depression,4.0,5
Social isolation has me feeling very low.,Negative,feeling very low,Depression,3.0,5
Financial stress has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
This setback has me feeling very low today.,Negative,feeling very low,Depression,3.0,2
Work pressure has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The rejection has me feeling very low.,Negative,feeling very low,Depression,3.0,5
My struggle with weight has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The anniversary has me feeling very low.,Negative,feeling very low,Depression,3.0,2
Changes in life have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
Missing home has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These challenges have me feeling depressed.,Negative,feeling depressed,Depression,4.0,3
The loss has me feeling very low lately.,Negative,feeling very low,Depression,3.0,4
My situation has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
Recent events have me feeling very low.,Negative,feeling very low,Depression,3.0,2
This illness has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
Family issues have me feeling very low.,Negative,feeling very low,Depression,3.0,2
My failures have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
Distance from friends has me feeling very low.,Negative,feeling very low,Depression,3.0,1
Current circumstances have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The news today has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My relationship has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The holidays have me feeling very low.,Negative,feeling very low,Depression,3.0,1
These memories have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
Job hunting has me feeling very low.,Negative,feeling very low,Depression,3.0,2
Recovery has me feeling depressed sometimes.,Negative,feeling depressed,Depression,4.0,4
The silence has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My mistakes have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The uncertainty has me feeling very low.,Negative,feeling very low,Depression,3.0,5
Past decisions have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The pressure has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These changes have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
Daily struggles have me feeling very low.,Negative,feeling very low,Depression,3.0,5
Self-doubt has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The problems have me feeling very low.,Negative,feeling very low,Depression,3.0,5
Life changes have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
This burden has me feeling very low.,Negative,feeling very low,Depression,3.0,5
Everything has me feeling depressed now.,Negative,feeling depressed,Depression,4.0,4
Retirement has me feeling very low today.,Negative,feeling very low,Depression,3.0,2
The empty house has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
This injury has me feeling very low now.,Negative,feeling very low,Depression,3.0,5
My art rejection has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The cloudy weather has me feeling very low.,Negative,feeling very low,Depression,3.0,2
These deadlines have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
Lost friendships have me feeling very low.,Negative,feeling very low,Depression,3.0,1
My career change has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The weekend alone has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These regrets have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
My pet's illness has me feeling very low.,Negative,feeling very low,Depression,3.0,5
This competition has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The cancelled plans have me feeling very low.,Negative,feeling very low,Depression,3.0,4
My writer's block has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The grey skies have me feeling very low.,Negative,feeling very low,Depression,3.0,1
These medical bills have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The quiet house has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My project failure has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The missed opportunity has me feeling very low.,Negative,feeling very low,Depression,3.0,1
This rejection letter has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The empty inbox has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My performance review has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The delayed flight has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These unpaid bills have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The birthday alone has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My portfolio feedback has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The missed deadline has me feeling very low.,Negative,feeling very low,Depression,3.0,4
This weight gain has me feeling depressed.,Negative,feeling depressed,Depression,4.0,1
The unfinished work has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My driving test failure has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The team loss has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These relationship issues have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The loan denial has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My creative block has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The cold winter has me feeling very low.,Negative,feeling very low,Depression,3.0,2
This social anxiety has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The forgotten anniversary has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My interview rejection has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The missed concert has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These family arguments have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The lost phone has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My garden dying has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The unanswered message has me feeling very low.,Negative,feeling very low,Depression,3.0,2
This long commute has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The power outage has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My canceled vacation has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The broken promise has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These parking tickets have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The missed train has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My landlord's notice has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The stolen bike has me feeling very low.,Negative,feeling very low,Depression,3.0,5
This computer crash has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The missed meeting has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My failed recipe has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The spilled coffee has me feeling very low.,Negative,feeling very low,Depression,3.0,2
These noisy neighbors have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The lost wallet has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My broken phone has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The rainy vacation has me feeling very low.,Negative,feeling very low,Depression,3.0,2
This traffic jam has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The missing package has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My delayed payment has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The closed gym has me feeling very low.,Negative,feeling very low,Depression,3.0,2
These internet issues have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The broken glasses has me feeling very low.,Negative,feeling very low,Depression,3.0,5
My laundry mishap has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The missed call has me feeling very low.,Negative,feeling very low,Depression,3.0,4
This printer jam has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The expired food has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My dropped phone has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The late bus has me feeling very low.,Negative,feeling very low,Depression,3.0,2
These paper cuts have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The flat tire has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My lost keys have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The slow internet has me feeling very low.,Negative,feeling very low,Depression,3.0,2
This burnt dinner has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The long wait has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My bad haircut has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The wrong order has me feeling very low.,Negative,feeling very low,Depression,3.0,5
These billing errors have me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The stained shirt has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My broken watch has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The missed alarm has me feeling very low.,Negative,feeling very low,Depression,3.0,5
This cold coffee has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The locked door has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My dead battery has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The lost document has me feeling very low.,Negative,feeling very low,Depression,3.0,4
These endless meetings have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The dropped ice cream has me feeling very low.,Negative,feeling very low,Depression,3.0,2
My missed appointment has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The wrong turn has me feeling very low.,Negative,feeling very low,Depression,3.0,5
This slow computer has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The forgotten password has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My lost bookmark has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The spam emails have me feeling very low.,Negative,feeling very low,Depression,3.0,5
These software updates have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The lost charger has me feeling very low.,Negative,feeling very low,Depression,3.0,4
My scattered papers have me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
The broken pencil has me feeling very low.,Negative,feeling very low,Depression,3.0,5
This loud alarm has me feeling depressed.,Negative,feeling depressed,Depression,4.0,5
The messy desk has me feeling very low.,Negative,feeling very low,Depression,3.0,5
My wrinkled shirt has me feeling depressed.,Negative,feeling depressed,Depression,4.0,4
I'm feeling little anxious about the routine checkup.,Negative,feeling little anxious,Anxiety,2.0,1
The upcoming presentation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about my retirement savings.,Negative,constantly worried,Anxiety,4.0,2
Meeting new people makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
I'm feeling very anxious about the job interview.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about my children's safety.,Negative,constantly worried,Anxiety,4.0,1
The dental visit has me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The exam results have me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about climate change.,Negative,constantly worried,Anxiety,4.0,2
Trying new food makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The mortgage payment has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about my health issues.,Negative,constantly worried,Anxiety,4.0,2
Public speaking makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The deadline has me feeling very anxious today.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about my parent's health.,Negative,constantly worried,Anxiety,4.0,2
First dates make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
This performance review has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about my car breaking down.,Negative,constantly worried,Anxiety,4.0,2
Flying makes me feeling little anxious sometimes.,Negative,feeling little anxious,Anxiety,2.0,1
The medical test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about losing my job.,Negative,constantly worried,Anxiety,4.0,5
Shopping alone makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,2
The family gathering has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about paying bills.,Negative,constantly worried,Anxiety,4.0,2
Driving in snow makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The visa interview has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about my pet's health.,Negative,constantly worried,Anxiety,4.0,2
Taking photos makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The house inspection has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about market crashes.,Negative,constantly worried,Anxiety,4.0,2
Group projects make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The blind date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,5
I'm constantly worried about missing deadlines.,Negative,constantly worried,Anxiety,4.0,5
Phone calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The job change has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about student loans.,Negative,constantly worried,Anxiety,4.0,2
Social events make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The court date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about cyber security.,Negative,constantly worried,Anxiety,4.0,1
Team meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The contract signing has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about global conflicts.,Negative,constantly worried,Anxiety,4.0,5
Elevators make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The surgery date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about identity theft.,Negative,constantly worried,Anxiety,4.0,2
Large crowds make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The tax audit has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about data privacy.,Negative,constantly worried,Anxiety,4.0,2
Small talk makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The feedback session has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about natural disasters.,Negative,constantly worried,Anxiety,4.0,5
Heights make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The wedding speech has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about food safety.,Negative,constantly worried,Anxiety,4.0,1
Networking makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The lease renewal has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about air pollution.,Negative,constantly worried,Anxiety,4.0,2
Video calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The driving test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about water quality.,Negative,constantly worried,Anxiety,4.0,2
Darkness makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,2
The health check has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about online scams.,Negative,constantly worried,Anxiety,4.0,5
Tight spaces make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The loan application has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about future plans.,Negative,constantly worried,Anxiety,4.0,2
Parties make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,2
The performance test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about relationship issues.,Negative,constantly worried,Anxiety,4.0,2
Thunderstorms make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The immigration process has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about housing prices.,Negative,constantly worried,Anxiety,4.0,2
Interviews make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The custody hearing has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about job security.,Negative,constantly worried,Anxiety,4.0,1
Hospitals make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The visa renewal has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about retirement plans.,Negative,constantly worried,Anxiety,4.0,2
Dentists make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The board meeting has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about education costs.,Negative,constantly worried,Anxiety,4.0,2
Travel makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The home purchase has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about food prices.,Negative,constantly worried,Anxiety,4.0,2
Presentations make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The final exam has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about cyber bullying.,Negative,constantly worried,Anxiety,4.0,5
Airports make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The business pitch has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about internet security.,Negative,constantly worried,Anxiety,4.0,1
Meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The evaluation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about career growth.,Negative,constantly worried,Anxiety,4.0,1
Changes make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The interview result has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about family health.,Negative,constantly worried,Anxiety,4.0,2
Crowds make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2.0,1
The project deadline has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4.0,2
I'm constantly worried about financial future.,Negative,constantly worried,Anxiety,4.0,2
User Input,Polarity,Extracted Concern,Category,,1
I'm feeling little better after taking the medicine.,Positive,feeling little better,Positive Outlook,1.0,3
The sunrise today has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about the job interview.,Positive,feeling hopeful,Positive Outlook,2.0,3
The therapy sessions have me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
Starting exercise has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
My promotion has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about my recovery process.,Positive,feeling hopeful,Positive Outlook,2.0,3
The new treatment has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
The rest made me feeling little better today.,Positive,feeling little better,Positive Outlook,1.0,3
This vacation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
I'm feeling hopeful about the upcoming changes.,Positive,feeling hopeful,Positive Outlook,2.0,3
The support group has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,4
The tea made me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
My engagement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,4
I'm feeling hopeful about the test results.,Positive,feeling hopeful,Positive Outlook,2.0,3
The medication has me feeling much better.,Positive,feeling much better,Positive Outlook,4.0,3
This soup has me feeling little better.,Positive,feeling little better,Positive Outlook,1.0,3
The wedding news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4.0,3
