Lost friendships have me feeling very low.,Negative,feeling very low,Depression,3
My career change has me feeling depressed.,Negative,feeling depressed,Depression,4
The weekend alone has me feeling very low.,Negative,feeling very low,Depression,3
These regrets have me feeling depressed.,Negative,feeling depressed,Depression,4
My pet's illness has me feeling very low.,Negative,feeling very low,Depression,3
This competition has me feeling depressed.,Negative,feeling depressed,Depression,4
The cancelled plans have me feeling very low.,Negative,feeling very low,Depression,3
My writer's block has me feeling depressed.,Negative,feeling depressed,Depression,4
The grey skies have me feeling very low.,Negative,feeling very low,Depression,3
These medical bills have me feeling depressed.,Negative,feeling depressed,Depression,4
The quiet house has me feeling very low.,Negative,feeling very low,Depression,3
My project failure has me feeling depressed.,Negative,feeling depressed,Depression,4
The missed opportunity has me feeling very low.,Negative,feeling very low,Depression,3
This rejection letter has me feeling depressed.,Negative,feeling depressed,Depression,4
The empty inbox has me feeling very low.,Negative,feeling very low,Depression,3
My performance review has me feeling depressed.,Negative,feeling depressed,Depression,4
The delayed flight has me feeling very low.,Negative,feeling very low,Depression,3
These unpaid bills have me feeling depressed.,Negative,feeling depressed,Depression,4
The birthday alone has me feeling very low.,Negative,feeling very low,Depression,3
My portfolio feedback has me feeling depressed.,Negative,feeling depressed,Depression,4
The missed deadline has me feeling very low.,Negative,feeling very low,Depression,3
This weight gain has me feeling depressed.,Negative,feeling depressed,Depression,4
The unfinished work has me feeling very low.,Negative,feeling very low,Depression,3
My driving test failure has me feeling depressed.,Negative,feeling depressed,Depression,4
The team loss has me feeling very low.,Negative,feeling very low,Depression,3
These relationship issues have me feeling depressed.,Negative,feeling depressed,Depression,4
The loan denial has me feeling very low.,Negative,feeling very low,Depression,3
My creative block has me feeling depressed.,Negative,feeling depressed,Depression,4
The cold winter has me feeling very low.,Negative,feeling very low,Depression,3
This social anxiety has me feeling depressed.,Negative,feeling depressed,Depression,4
The forgotten anniversary has me feeling very low.,Negative,feeling very low,Depression,3
My interview rejection has me feeling depressed.,Negative,feeling depressed,Depression,4
The missed concert has me feeling very low.,Negative,feeling very low,Depression,3
These family arguments have me feeling depressed.,Negative,feeling depressed,Depression,4
The lost phone has me feeling very low.,Negative,feeling very low,Depression,3
My garden dying has me feeling depressed.,Negative,feeling depressed,Depression,4
The unanswered message has me feeling very low.,Negative,feeling very low,Depression,3
This long commute has me feeling depressed.,Negative,feeling depressed,Depression,4
The power outage has me feeling very low.,Negative,feeling very low,Depression,3
My canceled vacation has me feeling depressed.,Negative,feeling depressed,Depression,4
The broken promise has me feeling very low.,Negative,feeling very low,Depression,3
These parking tickets have me feeling depressed.,Negative,feeling depressed,Depression,4
The missed train has me feeling very low.,Negative,feeling very low,Depression,3
My landlord's notice has me feeling depressed.,Negative,feeling depressed,Depression,4
The stolen bike has me feeling very low.,Negative,feeling very low,Depression,3
This computer crash has me feeling depressed.,Negative,feeling depressed,Depression,4
The missed meeting has me feeling very low.,Negative,feeling very low,Depression,3
My failed recipe has me feeling depressed.,Negative,feeling depressed,Depression,4
The spilled coffee has me feeling very low.,Negative,feeling very low,Depression,3
These noisy neighbors have me feeling depressed.,Negative,feeling depressed,Depression,4
The lost wallet has me feeling very low.,Negative,feeling very low,Depression,3
My broken phone has me feeling depressed.,Negative,feeling depressed,Depression,4
The rainy vacation has me feeling very low.,Negative,feeling very low,Depression,3
This traffic jam has me feeling depressed.,Negative,feeling depressed,Depression,4
The missing package has me feeling very low.,Negative,feeling very low,Depression,3
My delayed payment has me feeling depressed.,Negative,feeling depressed,Depression,4
The closed gym has me feeling very low.,Negative,feeling very low,Depression,3
These internet issues have me feeling depressed.,Negative,feeling depressed,Depression,4
The broken glasses has me feeling very low.,Negative,feeling very low,Depression,3
My laundry mishap has me feeling depressed.,Negative,feeling depressed,Depression,4
The missed call has me feeling very low.,Negative,feeling very low,Depression,3
This printer jam has me feeling depressed.,Negative,feeling depressed,Depression,4
The expired food has me feeling very low.,Negative,feeling very low,Depression,3
My dropped phone has me feeling depressed.,Negative,feeling depressed,Depression,4
The late bus has me feeling very low.,Negative,feeling very low,Depression,3
These paper cuts have me feeling depressed.,Negative,feeling depressed,Depression,4
The flat tire has me feeling very low.,Negative,feeling very low,Depression,3
My lost keys have me feeling depressed.,Negative,feeling depressed,Depression,4
The slow internet has me feeling very low.,Negative,feeling very low,Depression,3
This burnt dinner has me feeling depressed.,Negative,feeling depressed,Depression,4
The long wait has me feeling very low.,Negative,feeling very low,Depression,3
My bad haircut has me feeling depressed.,Negative,feeling depressed,Depression,4
The wrong order has me feeling very low.,Negative,feeling very low,Depression,3
These billing errors have me feeling depressed.,Negative,feeling depressed,Depression,4
The stained shirt has me feeling very low.,Negative,feeling very low,Depression,3
My broken watch has me feeling depressed.,Negative,feeling depressed,Depression,4
The missed alarm has me feeling very low.,Negative,feeling very low,Depression,3
This cold coffee has me feeling depressed.,Negative,feeling depressed,Depression,4
The locked door has me feeling very low.,Negative,feeling very low,Depression,3
My dead battery has me feeling depressed.,Negative,feeling depressed,Depression,4
The lost document has me feeling very low.,Negative,feeling very low,Depression,3
These endless meetings have me feeling depressed.,Negative,feeling depressed,Depression,4
The dropped ice cream has me feeling very low.,Negative,feeling very low,Depression,3
My missed appointment has me feeling depressed.,Negative,feeling depressed,Depression,4
The wrong turn has me feeling very low.,Negative,feeling very low,Depression,3
This slow computer has me feeling depressed.,Negative,feeling depressed,Depression,4
The forgotten password has me feeling very low.,Negative,feeling very low,Depression,3
My lost bookmark has me feeling depressed.,Negative,feeling depressed,Depression,4
The spam emails have me feeling very low.,Negative,feeling very low,Depression,3
These software updates have me feeling depressed.,Negative,feeling depressed,Depression,4
The lost charger has me feeling very low.,Negative,feeling very low,Depression,3
My scattered papers have me feeling depressed.,Negative,feeling depressed,Depression,4
The broken pencil has me feeling very low.,Negative,feeling very low,Depression,3
This loud alarm has me feeling depressed.,Negative,feeling depressed,Depression,4
The messy desk has me feeling very low.,Negative,feeling very low,Depression,3
My wrinkled shirt has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm feeling little anxious about the routine checkup.,Negative,feeling little anxious,Anxiety,2
The upcoming presentation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about my retirement savings.,Negative,constantly worried,Anxiety,4
Meeting new people makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
I'm feeling very anxious about the job interview.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about my children's safety.,Negative,constantly worried,Anxiety,4
The dental visit has me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The exam results have me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about climate change.,Negative,constantly worried,Anxiety,4
Trying new food makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The mortgage payment has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about my health issues.,Negative,constantly worried,Anxiety,4
Public speaking makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The deadline has me feeling very anxious today.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about my parent's health.,Negative,constantly worried,Anxiety,4
First dates make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
This performance review has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about my car breaking down.,Negative,constantly worried,Anxiety,4
Flying makes me feeling little anxious sometimes.,Negative,feeling little anxious,Anxiety,2
The medical test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about losing my job.,Negative,constantly worried,Anxiety,4
Shopping alone makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The family gathering has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about paying bills.,Negative,constantly worried,Anxiety,4
Driving in snow makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The visa interview has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about my pet's health.,Negative,constantly worried,Anxiety,4
Taking photos makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The house inspection has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about market crashes.,Negative,constantly worried,Anxiety,4
Group projects make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The blind date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about missing deadlines.,Negative,constantly worried,Anxiety,4
Phone calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The job change has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about student loans.,Negative,constantly worried,Anxiety,4
Social events make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The court date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about cyber security.,Negative,constantly worried,Anxiety,4
Team meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The contract signing has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about global conflicts.,Negative,constantly worried,Anxiety,4
Elevators make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The surgery date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about identity theft.,Negative,constantly worried,Anxiety,4
Large crowds make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The tax audit has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about data privacy.,Negative,constantly worried,Anxiety,4
Small talk makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The feedback session has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about natural disasters.,Negative,constantly worried,Anxiety,4
Heights make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The wedding speech has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about food safety.,Negative,constantly worried,Anxiety,4
Networking makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The lease renewal has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about air pollution.,Negative,constantly worried,Anxiety,4
Video calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The driving test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about water quality.,Negative,constantly worried,Anxiety,4
Darkness makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The health check has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about online scams.,Negative,constantly worried,Anxiety,4
Tight spaces make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The loan application has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about future plans.,Negative,constantly worried,Anxiety,4
Parties make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The performance test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about relationship issues.,Negative,constantly worried,Anxiety,4
Thunderstorms make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The immigration process has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about housing prices.,Negative,constantly worried,Anxiety,4
Interviews make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The custody hearing has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about job security.,Negative,constantly worried,Anxiety,4
Hospitals make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The visa renewal has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about retirement plans.,Negative,constantly worried,Anxiety,4
Dentists make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The board meeting has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about education costs.,Negative,constantly worried,Anxiety,4
Travel makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The home purchase has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about food prices.,Negative,constantly worried,Anxiety,4
Presentations make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The final exam has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about cyber bullying.,Negative,constantly worried,Anxiety,4
Airports make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The business pitch has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about internet security.,Negative,constantly worried,Anxiety,4
Meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The evaluation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about career growth.,Negative,constantly worried,Anxiety,4
Changes make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The interview result has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about family health.,Negative,constantly worried,Anxiety,4
Crowds make me feeling little anxious.,Negative,feeling little anxious,Anxiety,2
The project deadline has me feeling very anxious.,Negative,feeling very anxious,Anxiety,4
I'm constantly worried about financial future.,Negative,constantly worried,Anxiety,4
User Input,Polarity,Extracted Concern,Category,Intensity
I'm feeling little better after taking the medicine.,Positive,feeling little better,Positive Outlook,1
The sunrise today has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about the job interview.,Positive,feeling hopeful,Positive Outlook,2
The therapy sessions have me feeling much better.,Positive,feeling much better,Positive Outlook,4
Starting exercise has me feeling little better.,Positive,feeling little better,Positive Outlook,1
My promotion has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about my recovery process.,Positive,feeling hopeful,Positive Outlook,2
The new treatment has me feeling much better.,Positive,feeling much better,Positive Outlook,4
The rest made me feeling little better today.,Positive,feeling little better,Positive Outlook,1
This vacation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about the upcoming changes.,Positive,feeling hopeful,Positive Outlook,2
The support group has me feeling much better.,Positive,feeling much better,Positive Outlook,4
The tea made me feeling little better.,Positive,feeling little better,Positive Outlook,1
My engagement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about the test results.,Positive,feeling hopeful,Positive Outlook,2
The medication has me feeling much better.,Positive,feeling much better,Positive Outlook,4
This soup has me feeling little better.,Positive,feeling little better,Positive Outlook,1
The wedding news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about my future now.,Positive,feeling hopeful,Positive Outlook,2
My recovery has me feeling much better.,Positive,feeling much better,Positive Outlook,4
The nap made me feeling little better.,Positive,feeling little better,Positive Outlook,1
This achievement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about the interview results.,Positive,feeling hopeful,Positive Outlook,2
The spring weather has me feeling much better.,Positive,feeling much better,Positive Outlook,4
Fresh air has me feeling little better.,Positive,feeling little better,Positive Outlook,1
My graduation has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about the new project.,Positive,feeling hopeful,Positive Outlook,2
These changes have me feeling much better.,Positive,feeling much better,Positive Outlook,4
The walk made me feeling little better.,Positive,feeling little better,Positive Outlook,1
This reunion has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about my relationship.,Positive,feeling hopeful,Positive Outlook,2
The counseling has me feeling much better.,Positive,feeling much better,Positive Outlook,4
Stretching has me feeling little better.,Positive,feeling little better,Positive Outlook,1
My new home has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about this opportunity.,Positive,feeling hopeful,Positive Outlook,2
The weekend has me feeling much better.,Positive,feeling much better,Positive Outlook,4
This massage has me feeling little better.,Positive,feeling little better,Positive Outlook,1
The baby news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about the treatment plan.,Positive,feeling hopeful,Positive Outlook,2
These friends have me feeling much better.,Positive,feeling much better,Positive Outlook,4
Meditation has me feeling little better.,Positive,feeling little better,Positive Outlook,1
This success has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about tomorrow now.,Positive,feeling hopeful,Positive Outlook,2
The sunshine has me feeling much better.,Positive,feeling much better,Positive Outlook,4
Hot shower has me feeling little better.,Positive,feeling little better,Positive Outlook,1
My birthday has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about this application.,Positive,feeling hopeful,Positive Outlook,2
The vacation has me feeling much better.,Positive,feeling much better,Positive Outlook,4
Reading made me feeling little better.,Positive,feeling little better,Positive Outlook,1
This concert has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about my career path.,Positive,feeling hopeful,Positive Outlook,2
The yoga has me feeling much better.,Positive,feeling much better,Positive Outlook,4
Music has me feeling little better.,Positive,feeling little better,Positive Outlook,1
This party has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about my studies.,Positive,feeling hopeful,Positive Outlook,2
The break has me feeling much better.,Positive,feeling much better,Positive Outlook,4
Drawing has me feeling little better.,Positive,feeling little better,Positive Outlook,1
These results have me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about my savings.,Positive,feeling hopeful,Positive Outlook,2
The holiday has me feeling much better.,Positive,feeling much better,Positive Outlook,4
Gardening has me feeling little better.,Positive,feeling little better,Positive Outlook,1
